/Users/alexwang/0data/0mango/genome/gd10.fasta /Users/alexwang/0data/0mango/genome/gz15.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[FRM]	[TAGS]
530	1708	417010	418192	1179	1183	85.67	7602691	418304	0.02	0.28	1	1	gd10_1	gz15_13
1662	5551	1044706	1048598	3890	3893	85.41	7602691	6295970	0.05	0.06	1	1	gd10_1	gz15_4
2305	6459	449674	445567	4155	4108	81.92	7602691	4644389	0.05	0.09	1	-1	gd10_1	gz15_8
6522	7543	1362541	1361520	1022	1022	81.16	7602691	4713824	0.01	0.02	1	-1	gd10_1	gz15_7
8019	9328	485461	486763	1310	1303	83.27	7602691	4644389	0.02	0.03	1	1	gd10_1	gz15_8
9297	13108	936965	933151	3812	3815	85.61	7602691	4812177	0.05	0.08	1	-1	gd10_1	gz15_6
9587	13671	1346289	1350375	4085	4087	85.43	7602691	3388160	0.05	0.12	1	1	gd10_1	gz15_10
14056	15798	30939	32677	1743	1739	84.32	7602691	409562	0.02	0.42	1	1	gd10_1	gz15_14
16708	20669	12277	16235	3962	3959	92.42	7602691	7873532	0.05	0.05	1	1	gd10_1	gz15_1
20795	22765	16317	18287	1971	1971	87.09	7602691	7873532	0.03	0.03	1	1	gd10_1	gz15_1
23559	25971	18647	21042	2413	2396	87.39	7602691	7873532	0.03	0.03	1	1	gd10_1	gz15_1
26082	43180	21033	38136	17099	17104	90.90	7602691	7873532	0.22	0.22	1	1	gd10_1	gz15_1
43448	68089	38333	63052	24642	24720	91.58	7602691	7873532	0.32	0.31	1	1	gd10_1	gz15_1
69169	87347	63800	82070	18179	18271	95.08	7602691	7873532	0.24	0.23	1	1	gd10_1	gz15_1
87408	97352	82293	92239	9945	9947	92.42	7602691	7873532	0.13	0.13	1	1	gd10_1	gz15_1
97495	133016	92428	128016	35522	35589	93.47	7602691	7873532	0.47	0.45	1	1	gd10_1	gz15_1
133452	168427	128532	163304	34976	34773	94.64	7602691	7873532	0.46	0.44	1	1	gd10_1	gz15_1
168920	171278	163826	166179	2359	2354	90.37	7602691	7873532	0.03	0.03	1	1	gd10_1	gz15_1
171392	218779	166329	213679	47388	47351	93.96	7602691	7873532	0.62	0.60	1	1	gd10_1	gz15_1
218994	234072	213895	229017	15079	15123	92.50	7602691	7873532	0.20	0.19	1	1	gd10_1	gz15_1
235991	248868	232308	245054	12878	12747	92.27	7602691	7873532	0.17	0.16	1	1	gd10_1	gz15_1
248989	250961	245141	247119	1973	1979	92.23	7602691	7873532	0.03	0.03	1	1	gd10_1	gz15_1
251936	272108	248200	268244	20173	20045	91.49	7602691	7873532	0.27	0.25	1	1	gd10_1	gz15_1
272377	274033	268488	270138	1657	1651	87.21	7602691	7873532	0.02	0.02	1	1	gd10_1	gz15_1
275989	353343	272188	349656	77355	77469	96.29	7602691	7873532	1.02	0.98	1	1	gd10_1	gz15_1
354523	361950	352318	359745	7428	7428	92.23	7602691	7873532	0.10	0.09	1	1	gd10_1	gz15_1
362107	404002	359756	401442	41896	41687	91.83	7602691	7873532	0.55	0.53	1	1	gd10_1	gz15_1
404364	423186	401660	420497	18823	18838	95.07	7602691	7873532	0.25	0.24	1	1	gd10_1	gz15_1
423820	426032	421416	423568	2213	2153	90.79	7602691	7873532	0.03	0.03	1	1	gd10_1	gz15_1
426011	427279	424906	426174	1269	1269	94.72	7602691	7873532	0.02	0.02	1	1	gd10_1	gz15_1
427281	428652	423533	424907	1372	1375	86.95	7602691	7873532	0.02	0.02	1	1	gd10_1	gz15_1
428591	437756	426184	435329	9166	9146	92.84	7602691	7873532	0.12	0.12	1	1	gd10_1	gz15_1
438160	441120	435670	438622	2961	2953	89.39	7602691	7873532	0.04	0.04	1	1	gd10_1	gz15_1
443223	445615	438985	441396	2393	2412	89.23	7602691	7873532	0.03	0.03	1	1	gd10_1	gz15_1
448360	457745	442464	451848	9386	9385	92.50	7602691	7873532	0.12	0.12	1	1	gd10_1	gz15_1
457921	473825	451848	467769	15905	15922	92.95	7602691	7873532	0.21	0.20	1	1	gd10_1	gz15_1
474276	479518	468243	473483	5243	5241	90.17	7602691	7873532	0.07	0.07	1	1	gd10_1	gz15_1
480553	482303	474553	476325	1751	1773	86.79	7602691	7873532	0.02	0.02	1	1	gd10_1	gz15_1
483547	497650	477488	491494	14104	14007	89.73	7602691	7873532	0.19	0.18	1	1	gd10_1	gz15_1
506647	525601	491902	510857	18955	18956	92.33	7602691	7873532	0.25	0.24	1	1	gd10_1	gz15_1
525842	527158	511888	513225	1317	1338	81.21	7602691	7873532	0.02	0.02	1	1	gd10_1	gz15_1
527542	557266	513606	543418	29725	29813	92.09	7602691	7873532	0.39	0.38	1	1	gd10_1	gz15_1
557379	559876	543528	545997	2498	2470	94.64	7602691	7873532	0.03	0.03	1	1	gd10_1	gz15_1
561752	587589	548020	573796	25838	25777	92.09	7602691	7873532	0.34	0.33	1	1	gd10_1	gz15_1
589531	590690	575108	576272	1160	1165	85.93	7602691	7873532	0.02	0.01	1	1	gd10_1	gz15_1
591740	594688	577225	580170	2949	2946	89.77	7602691	7873532	0.04	0.04	1	1	gd10_1	gz15_1
595395	640607	580898	625951	45213	45054	92.78	7602691	7873532	0.59	0.57	1	1	gd10_1	gz15_1
641456	642926	626810	628308	1471	1499	88.81	7602691	7873532	0.02	0.02	1	1	gd10_1	gz15_1
643292	678727	628302	663642	35436	35341	92.97	7602691	7873532	0.47	0.45	1	1	gd10_1	gz15_1
679874	681621	664814	666570	1748	1757	93.88	7602691	7873532	0.02	0.02	1	1	gd10_1	gz15_1
682618	699486	667597	684458	16869	16862	94.95	7602691	7873532	0.22	0.21	1	1	gd10_1	gz15_1
700165	707247	685155	692234	7083	7080	91.40	7602691	7873532	0.09	0.09	1	1	gd10_1	gz15_1
707493	744572	692229	729194	37080	36966	93.32	7602691	7873532	0.49	0.47	1	1	gd10_1	gz15_1
744858	748075	729436	732694	3218	3259	90.13	7602691	7873532	0.04	0.04	1	1	gd10_1	gz15_1
748565	750554	742809	744804	1990	1996	93.24	7602691	7873532	0.03	0.03	1	1	gd10_1	gz15_1
751047	775754	745347	770125	24708	24779	93.85	7602691	7873532	0.32	0.31	1	1	gd10_1	gz15_1
777385	780265	778488	781369	2881	2882	94.96	7602691	7873532	0.04	0.04	1	1	gd10_1	gz15_1
780758	794117	781784	795092	13360	13309	95.54	7602691	7873532	0.18	0.17	1	1	gd10_1	gz15_1
794102	814507	795241	815690	20406	20450	93.87	7602691	7873532	0.27	0.26	1	1	gd10_1	gz15_1
816680	827703	817662	828529	11024	10868	92.52	7602691	7873532	0.15	0.14	1	1	gd10_1	gz15_1
827700	850575	828708	851801	22876	23094	92.94	7602691	7873532	0.30	0.29	1	1	gd10_1	gz15_1
852513	867899	853804	869295	15387	15492	93.42	7602691	7873532	0.20	0.20	1	1	gd10_1	gz15_1
868206	878093	869424	879282	9888	9859	93.87	7602691	7873532	0.13	0.13	1	1	gd10_1	gz15_1
878398	884118	879665	885400	5721	5736	94.85	7602691	7873532	0.08	0.07	1	1	gd10_1	gz15_1
884470	893657	885753	894892	9188	9140	88.80	7602691	7873532	0.12	0.12	1	1	gd10_1	gz15_1
895459	911393	897093	913039	15935	15947	93.96	7602691	7873532	0.21	0.20	1	1	gd10_1	gz15_1
913116	919646	914472	921034	6531	6563	88.82	7602691	7873532	0.09	0.08	1	1	gd10_1	gz15_1
922858	924586	924859	926590	1729	1732	90.03	7602691	7873532	0.02	0.02	1	1	gd10_1	gz15_1
924665	934806	926725	936830	10142	10106	89.74	7602691	7873532	0.13	0.13	1	1	gd10_1	gz15_1
934942	936465	940266	941782	1524	1517	88.03	7602691	7873532	0.02	0.02	1	1	gd10_1	gz15_1
936589	942314	941896	947617	5726	5722	92.19	7602691	7873532	0.08	0.07	1	1	gd10_1	gz15_1
942653	943831	951347	952516	1179	1170	83.40	7602691	7873532	0.02	0.01	1	1	gd10_1	gz15_1
950434	969553	952512	971602	19120	19091	92.04	7602691	7873532	0.25	0.24	1	1	gd10_1	gz15_1
970494	971999	972549	974041	1506	1493	90.72	7602691	7873532	0.02	0.02	1	1	gd10_1	gz15_1
972221	976838	974210	978878	4618	4669	92.47	7602691	7873532	0.06	0.06	1	1	gd10_1	gz15_1
978280	984770	981019	987588	6491	6570	90.10	7602691	7873532	0.09	0.08	1	1	gd10_1	gz15_1
986156	988016	818026	819886	1861	1861	89.27	7602691	3388160	0.02	0.05	1	1	gd10_1	gz15_10
